"","ST","DATE","UR","State","Crisis","Months"
"251","AL",2008-08-01,6.1,"Alabama","Subprime mortgage",7
"252","AL",2008-09-01,6.5,"Alabama","Subprime mortgage",8
"253","AL",2008-10-01,6.9,"Alabama","Subprime mortgage",9
"254","AL",2008-11-01,7.3,"Alabama","Subprime mortgage",10
"255","AL",2008-12-01,7.8,"Alabama","Subprime mortgage",11
"256","AL",2009-01-01,8.4,"Alabama","Subprime mortgage",12
"257","AL",2009-02-01,8.8,"Alabama","Subprime mortgage",13
"258","AL",2009-03-01,9.3,"Alabama","Subprime mortgage",14
"259","AL",2009-04-01,9.6,"Alabama","Subprime mortgage",15
"260","AL",2009-05-01,9.9,"Alabama","Subprime mortgage",16
"261","AL",2009-06-01,10.2,"Alabama","Subprime mortgage",17
"262","AL",2009-07-01,10.4,"Alabama","Subprime mortgage",18
"263","AL",2009-08-01,10.6,"Alabama","Subprime mortgage",19
"264","AL",2009-09-01,10.8,"Alabama","Subprime mortgage",20
"265","AL",2009-10-01,10.9,"Alabama","Subprime mortgage",21
"266","AL",2009-11-01,11,"Alabama","Subprime mortgage",22
"267","AL",2009-12-01,11.1,"Alabama","Subprime mortgage",23
"268","AL",2010-01-01,11.1,"Alabama","Subprime mortgage",24
"269","AL",2010-02-01,11,"Alabama","Subprime mortgage",25
"270","AL",2010-03-01,10.9,"Alabama","Subprime mortgage",26
"271","AL",2010-04-01,10.5,"Alabama","Subprime mortgage",27
"272","AL",2010-05-01,10.3,"Alabama","Subprime mortgage",28
"273","AL",2010-06-01,10.1,"Alabama","Subprime mortgage",29
"274","AL",2010-07-01,10.1,"Alabama","Subprime mortgage",30
"275","AL",2010-08-01,10,"Alabama","Subprime mortgage",31
"276","AL",2010-09-01,10.1,"Alabama","Subprime mortgage",32
"277","AL",2010-10-01,10.1,"Alabama","Subprime mortgage",33
"278","AL",2010-11-01,10.2,"Alabama","Subprime mortgage",34
"279","AL",2010-12-01,10.1,"Alabama","Subprime mortgage",35
"327","AR",2008-01-01,5.1,"Arkansas","Subprime mortgage",0
"408","AR",2008-02-01,5,"Arkansas","Subprime mortgage",1
"409","AR",2008-03-01,4.9,"Arkansas","Subprime mortgage",2
"410","AR",2008-04-01,5,"Arkansas","Subprime mortgage",3
"411","AR",2008-05-01,5,"Arkansas","Subprime mortgage",4
"412","AR",2008-06-01,5.1,"Arkansas","Subprime mortgage",5
"413","AR",2008-07-01,5.3,"Arkansas","Subprime mortgage",6
"414","AR",2008-08-01,5.4,"Arkansas","Subprime mortgage",7
"415","AR",2008-09-01,5.6,"Arkansas","Subprime mortgage",8
"416","AR",2008-10-01,5.9,"Arkansas","Subprime mortgage",9
"417","AR",2008-11-01,6.3,"Arkansas","Subprime mortgage",10
"418","AR",2008-12-01,6.7,"Arkansas","Subprime mortgage",11
"419","AR",2009-01-01,7,"Arkansas","Subprime mortgage",12
"420","AR",2009-02-01,7.4,"Arkansas","Subprime mortgage",13
"421","AR",2009-03-01,7.6,"Arkansas","Subprime mortgage",14
"422","AR",2009-04-01,7.8,"Arkansas","Subprime mortgage",15
"423","AR",2009-05-01,7.9,"Arkansas","Subprime mortgage",16
"424","AR",2009-06-01,7.9,"Arkansas","Subprime mortgage",17
"425","AR",2009-07-01,7.9,"Arkansas","Subprime mortgage",18
"426","AR",2009-08-01,7.8,"Arkansas","Subprime mortgage",19
"427","AR",2009-09-01,7.8,"Arkansas","Subprime mortgage",20
"428","AR",2009-10-01,7.8,"Arkansas","Subprime mortgage",21
"429","AR",2009-11-01,7.9,"Arkansas","Subprime mortgage",22
"430","AR",2009-12-01,7.9,"Arkansas","Subprime mortgage",23
"431","AR",2010-01-01,7.9,"Arkansas","Subprime mortgage",24
"432","AR",2010-02-01,7.9,"Arkansas","Subprime mortgage",25
"433","AR",2010-03-01,7.9,"Arkansas","Subprime mortgage",26
"434","AR",2010-04-01,7.8,"Arkansas","Subprime mortgage",27
"435","AR",2010-05-01,7.8,"Arkansas","Subprime mortgage",28
"436","AR",2010-06-01,7.7,"Arkansas","Subprime mortgage",29
"437","AR",2010-07-01,7.7,"Arkansas","Subprime mortgage",30
"438","AR",2010-08-01,7.8,"Arkansas","Subprime mortgage",31
"439","AR",2010-09-01,7.9,"Arkansas","Subprime mortgage",32
"440","AR",2010-10-01,7.9,"Arkansas","Subprime mortgage",33
"441","AR",2010-11-01,8,"Arkansas","Subprime mortgage",34
"442","AR",2010-12-01,8,"Arkansas","Subprime mortgage",35
"490","AZ",2008-02-01,4.4,"Arizona","Subprime mortgage",1
"491","AZ",2008-03-01,4.6,"Arizona","Subprime mortgage",2
"492","AZ",2008-01-01,4.3,"Arizona","Subprime mortgage",0
"493","AZ",2008-06-01,5.5,"Arizona","Subprime mortgage",5
"494","AZ",2008-07-01,5.9,"Arizona","Subprime mortgage",6
"495","AZ",2008-08-01,6.2,"Arizona","Subprime mortgage",7
"496","AZ",2008-09-01,6.6,"Arizona","Subprime mortgage",8
"497","AZ",2008-10-01,6.9,"Arizona","Subprime mortgage",9
"498","AZ",2008-11-01,7.3,"Arizona","Subprime mortgage",10
"499","AZ",2008-12-01,7.7,"Arizona","Subprime mortgage",11
"500","AZ",2009-01-01,8.2,"Arizona","Subprime mortgage",12
"501","AZ",2009-02-01,8.6,"Arizona","Subprime mortgage",13
"502","AZ",2009-03-01,8.9,"Arizona","Subprime mortgage",14
"503","AZ",2009-04-01,9.2,"Arizona","Subprime mortgage",15
"504","AZ",2009-05-01,9.5,"Arizona","Subprime mortgage",16
"505","AZ",2009-06-01,9.7,"Arizona","Subprime mortgage",17
"506","AZ",2009-07-01,10,"Arizona","Subprime mortgage",18
"507","AZ",2009-08-01,10.1,"Arizona","Subprime mortgage",19
"508","AZ",2009-09-01,10.3,"Arizona","Subprime mortgage",20
"509","AZ",2009-10-01,10.4,"Arizona","Subprime mortgage",21
"510","AZ",2009-11-01,10.5,"Arizona","Subprime mortgage",22
"511","AZ",2009-12-01,10.6,"Arizona","Subprime mortgage",23
"512","AZ",2010-01-01,10.6,"Arizona","Subprime mortgage",24
"513","AZ",2010-02-01,10.6,"Arizona","Subprime mortgage",25
"514","AZ",2010-03-01,10.6,"Arizona","Subprime mortgage",26
"515","AZ",2010-04-01,10.5,"Arizona","Subprime mortgage",27
"516","AZ",2010-05-01,10.4,"Arizona","Subprime mortgage",28
"517","AZ",2010-06-01,10.3,"Arizona","Subprime mortgage",29
"518","AZ",2010-07-01,10.2,"Arizona","Subprime mortgage",30
"519","AZ",2010-08-01,10.2,"Arizona","Subprime mortgage",31
"520","AZ",2010-09-01,10.1,"Arizona","Subprime mortgage",32
"521","AZ",2010-10-01,10.1,"Arizona","Subprime mortgage",33
"522","AZ",2010-11-01,10,"Arizona","Subprime mortgage",34
"523","AZ",2010-12-01,10,"Arizona","Subprime mortgage",35
"531","AZ",2008-04-01,4.9,"Arizona","Subprime mortgage",3
"532","AZ",2008-05-01,5.2,"Arizona","Subprime mortgage",4
"653","CA",2008-03-01,6.2,"California","Subprime mortgage",2
"654","CA",2008-04-01,6.4,"California","Subprime mortgage",3
"655","CA",2008-05-01,6.7,"California","Subprime mortgage",4
"656","CA",2008-06-01,7,"California","Subprime mortgage",5
"657","CA",2008-07-01,7.3,"California","Subprime mortgage",6
"658","CA",2008-08-01,7.6,"California","Subprime mortgage",7
"659","CA",2008-09-01,8,"California","Subprime mortgage",8
"660","CA",2008-10-01,8.4,"California","Subprime mortgage",9
"661","CA",2008-11-01,8.8,"California","Subprime mortgage",10
"662","CA",2008-12-01,9.3,"California","Subprime mortgage",11
"663","CA",2009-01-01,9.9,"California","Subprime mortgage",12
"664","CA",2009-02-01,10.4,"California","Subprime mortgage",13
"665","CA",2009-03-01,10.8,"California","Subprime mortgage",14
"666","CA",2009-04-01,11.2,"California","Subprime mortgage",15
"667","CA",2009-05-01,11.4,"California","Subprime mortgage",16
"668","CA",2009-06-01,11.7,"California","Subprime mortgage",17
"669","CA",2009-07-01,11.8,"California","Subprime mortgage",18
"670","CA",2009-08-01,12,"California","Subprime mortgage",19
"671","CA",2009-09-01,12.1,"California","Subprime mortgage",20
"672","CA",2009-10-01,12.3,"California","Subprime mortgage",21
"673","CA",2009-11-01,12.4,"California","Subprime mortgage",22
"674","CA",2009-12-01,12.5,"California","Subprime mortgage",23
"675","CA",2010-01-01,12.6,"California","Subprime mortgage",24
"676","CA",2010-02-01,12.6,"California","Subprime mortgage",25
"677","CA",2010-03-01,12.6,"California","Subprime mortgage",26
"678","CA",2010-04-01,12.5,"California","Subprime mortgage",27
"679","CA",2010-05-01,12.5,"California","Subprime mortgage",28
"680","CA",2010-06-01,12.4,"California","Subprime mortgage",29
"681","CA",2010-07-01,12.3,"California","Subprime mortgage",30
"682","CA",2010-08-01,12.4,"California","Subprime mortgage",31
"683","CA",2010-09-01,12.4,"California","Subprime mortgage",32
"684","CA",2010-10-01,12.4,"California","Subprime mortgage",33
"685","CA",2010-11-01,12.4,"California","Subprime mortgage",34
"686","CA",2010-12-01,12.4,"California","Subprime mortgage",35
"692","CA",2008-02-01,6,"California","Subprime mortgage",1
"814","CA",2008-01-01,5.9,"California","Subprime mortgage",0
"816","CO",2008-03-01,4.3,"Colorado","Subprime mortgage",2
"817","CO",2008-04-01,4.4,"Colorado","Subprime mortgage",3
"818","CO",2008-05-01,4.5,"Colorado","Subprime mortgage",4
"819","CO",2008-02-01,4.2,"Colorado","Subprime mortgage",1
"820","CO",2008-07-01,4.8,"Colorado","Subprime mortgage",6
"821","CO",2008-08-01,5,"Colorado","Subprime mortgage",7
"822","CO",2008-09-01,5.2,"Colorado","Subprime mortgage",8
"823","CO",2008-06-01,4.7,"Colorado","Subprime mortgage",5
"824","CO",2008-11-01,5.7,"Colorado","Subprime mortgage",10
"825","CO",2008-12-01,6.1,"Colorado","Subprime mortgage",11
"826","CO",2009-01-01,6.6,"Colorado","Subprime mortgage",12
"827","CO",2008-10-01,5.4,"Colorado","Subprime mortgage",9
"828","CO",2009-03-01,7.4,"Colorado","Subprime mortgage",14
"829","CO",2009-04-01,7.7,"Colorado","Subprime mortgage",15
"830","CO",2009-05-01,8,"Colorado","Subprime mortgage",16
"831","CO",2009-06-01,8.1,"Colorado","Subprime mortgage",17
"832","CO",2009-07-01,8.1,"Colorado","Subprime mortgage",18
"833","CO",2009-08-01,8.1,"Colorado","Subprime mortgage",19
"834","CO",2009-09-01,8.2,"Colorado","Subprime mortgage",20
"835","CO",2009-10-01,8.3,"Colorado","Subprime mortgage",21
"836","CO",2009-11-01,8.4,"Colorado","Subprime mortgage",22
"837","CO",2009-12-01,8.6,"Colorado","Subprime mortgage",23
"838","CO",2010-01-01,8.8,"Colorado","Subprime mortgage",24
"839","CO",2010-02-01,9,"Colorado","Subprime mortgage",25
"840","CO",2009-02-01,7,"Colorado","Subprime mortgage",13
"841","CO",2010-04-01,9.1,"Colorado","Subprime mortgage",27
"842","CO",2010-05-01,9,"Colorado","Subprime mortgage",28
"843","CO",2010-06-01,9,"Colorado","Subprime mortgage",29
"844","CO",2010-07-01,9.1,"Colorado","Subprime mortgage",30
"845","CO",2010-08-01,9.2,"Colorado","Subprime mortgage",31
"846","CO",2010-09-01,9.3,"Colorado","Subprime mortgage",32
"847","CO",2010-10-01,9.4,"Colorado","Subprime mortgage",33
"848","CO",2010-11-01,9.4,"Colorado","Subprime mortgage",34
"849","CO",2010-12-01,9.3,"Colorado","Subprime mortgage",35
"853","CO",2010-03-01,9.1,"Colorado","Subprime mortgage",26
"854","CO",2008-01-01,4.2,"Colorado","Subprime mortgage",0
"1100","CT",2008-01-01,4.8,"Connecticut","Subprime mortgage",0
"1101","CT",2008-02-01,4.9,"Connecticut","Subprime mortgage",1
"1102","CT",2008-03-01,5,"Connecticut","Subprime mortgage",2
"1103","CT",2008-04-01,5.1,"Connecticut","Subprime mortgage",3
"1104","CT",2008-05-01,5.3,"Connecticut","Subprime mortgage",4
"1105","CT",2008-06-01,5.5,"Connecticut","Subprime mortgage",5
"1106","CT",2008-07-01,5.7,"Connecticut","Subprime mortgage",6
"1107","CT",2008-08-01,5.9,"Connecticut","Subprime mortgage",7
"1108","CT",2008-09-01,6,"Connecticut","Subprime mortgage",8
"1109","CT",2008-10-01,6.3,"Connecticut","Subprime mortgage",9
"1110","CT",2008-11-01,6.5,"Connecticut","Subprime mortgage",10
"1111","CT",2008-12-01,6.8,"Connecticut","Subprime mortgage",11
"1112","CT",2009-01-01,7.1,"Connecticut","Subprime mortgage",12
"1113","CT",2009-02-01,7.4,"Connecticut","Subprime mortgage",13
"1114","CT",2009-03-01,7.7,"Connecticut","Subprime mortgage",14
"1115","CT",2009-04-01,7.9,"Connecticut","Subprime mortgage",15
"1116","CT",2009-05-01,8.1,"Connecticut","Subprime mortgage",16
"1117","CT",2009-06-01,8.3,"Connecticut","Subprime mortgage",17
"1118","CT",2009-07-01,8.4,"Connecticut","Subprime mortgage",18
"1119","CT",2009-08-01,8.6,"Connecticut","Subprime mortgage",19
"1120","CT",2009-09-01,8.8,"Connecticut","Subprime mortgage",20
"1121","CT",2009-10-01,9,"Connecticut","Subprime mortgage",21
"1122","CT",2009-11-01,9.2,"Connecticut","Subprime mortgage",22
"1123","CT",2009-12-01,9.4,"Connecticut","Subprime mortgage",23
"1124","CT",2010-01-01,9.5,"Connecticut","Subprime mortgage",24
"1125","CT",2010-02-01,9.6,"Connecticut","Subprime mortgage",25
"1126","CT",2010-03-01,9.7,"Connecticut","Subprime mortgage",26
"1127","CT",2010-04-01,9.6,"Connecticut","Subprime mortgage",27
"1128","CT",2010-05-01,9.6,"Connecticut","Subprime mortgage",28
"1129","CT",2010-06-01,9.5,"Connecticut","Subprime mortgage",29
"1130","CT",2010-07-01,9.5,"Connecticut","Subprime mortgage",30
"1131","CT",2010-08-01,9.5,"Connecticut","Subprime mortgage",31
"1132","CT",2010-09-01,9.5,"Connecticut","Subprime mortgage",32
"1133","CT",2010-10-01,9.6,"Connecticut","Subprime mortgage",33
"1134","CT",2010-11-01,9.6,"Connecticut","Subprime mortgage",34
"1135","CT",2010-12-01,9.5,"Connecticut","Subprime mortgage",35
"1223","DC",2008-01-01,6,"District of Columbia","Subprime mortgage",0
"1224","DC",2008-02-01,6.1,"District of Columbia","Subprime mortgage",1
"1225","DC",2008-03-01,6.2,"District of Columbia","Subprime mortgage",2
"1226","DC",2008-04-01,6.3,"District of Columbia","Subprime mortgage",3
"1227","DC",2008-05-01,6.4,"District of Columbia","Subprime mortgage",4
"1228","DC",2008-06-01,6.6,"District of Columbia","Subprime mortgage",5
"1229","DC",2008-07-01,6.8,"District of Columbia","Subprime mortgage",6
"1230","DC",2008-08-01,7,"District of Columbia","Subprime mortgage",7
"1231","DC",2008-09-01,7.2,"District of Columbia","Subprime mortgage",8
"1232","DC",2008-10-01,7.5,"District of Columbia","Subprime mortgage",9
"1233","DC",2008-11-01,7.9,"District of Columbia","Subprime mortgage",10
"1234","DC",2008-12-01,8.2,"District of Columbia","Subprime mortgage",11
"1235","DC",2009-01-01,8.7,"District of Columbia","Subprime mortgage",12
"1236","DC",2009-02-01,9,"District of Columbia","Subprime mortgage",13
"1237","DC",2009-03-01,9.4,"District of Columbia","Subprime mortgage",14
"1238","DC",2009-04-01,9.7,"District of Columbia","Subprime mortgage",15
"1239","DC",2009-05-01,9.9,"District of Columbia","Subprime mortgage",16
"1240","DC",2009-06-01,10.1,"District of Columbia","Subprime mortgage",17
"1241","DC",2009-07-01,10.3,"District of Columbia","Subprime mortgage",18
"1242","DC",2009-08-01,10.5,"District of Columbia","Subprime mortgage",19
"1243","DC",2009-09-01,10.6,"District of Columbia","Subprime mortgage",20
"1244","DC",2009-10-01,10.6,"District of Columbia","Subprime mortgage",21
"1245","DC",2009-11-01,10.6,"District of Columbia","Subprime mortgage",22
"1246","DC",2009-12-01,10.6,"District of Columbia","Subprime mortgage",23
"1247","DC",2010-01-01,10.5,"District of Columbia","Subprime mortgage",24
"1248","DC",2010-02-01,10.3,"District of Columbia","Subprime mortgage",25
"1249","DC",2010-03-01,10.2,"District of Columbia","Subprime mortgage",26
"1250","DC",2010-04-01,10,"District of Columbia","Subprime mortgage",27
"1251","DC",2010-05-01,9.8,"District of Columbia","Subprime mortgage",28
"1252","DC",2010-06-01,9.7,"District of Columbia","Subprime mortgage",29
"1253","DC",2010-07-01,9.7,"District of Columbia","Subprime mortgage",30
"1254","DC",2010-08-01,9.7,"District of Columbia","Subprime mortgage",31
"1255","DC",2010-09-01,9.8,"District of Columbia","Subprime mortgage",32
"1256","DC",2010-10-01,9.9,"District of Columbia","Subprime mortgage",33
"1257","DC",2010-11-01,9.9,"District of Columbia","Subprime mortgage",34
"1304","DC",2010-12-01,9.9,"District of Columbia","Subprime mortgage",35
"1305","DE",2008-02-01,4,"Delaware","Subprime mortgage",1
"1306","DE",2008-03-01,4.1,"Delaware","Subprime mortgage",2
"1307","DE",2008-01-01,3.9,"Delaware","Subprime mortgage",0
"1308","DE",2008-06-01,4.7,"Delaware","Subprime mortgage",5
"1309","DE",2008-07-01,5,"Delaware","Subprime mortgage",6
"1310","DE",2008-04-01,4.2,"Delaware","Subprime mortgage",3
"1311","DE",2008-05-01,4.5,"Delaware","Subprime mortgage",4
"1312","DE",2008-10-01,6,"Delaware","Subprime mortgage",9
"1313","DE",2008-11-01,6.3,"Delaware","Subprime mortgage",10
"1314","DE",2008-08-01,5.3,"Delaware","Subprime mortgage",7
"1315","DE",2008-09-01,5.6,"Delaware","Subprime mortgage",8
"1316","DE",2009-02-01,7.6,"Delaware","Subprime mortgage",13
"1317","DE",2009-03-01,7.9,"Delaware","Subprime mortgage",14
"1318","DE",2009-04-01,8.2,"Delaware","Subprime mortgage",15
"1319","DE",2009-05-01,8.3,"Delaware","Subprime mortgage",16
"1320","DE",2009-06-01,8.4,"Delaware","Subprime mortgage",17
"1321","DE",2009-07-01,8.5,"Delaware","Subprime mortgage",18
"1322","DE",2009-08-01,8.6,"Delaware","Subprime mortgage",19
"1323","DE",2009-09-01,8.7,"Delaware","Subprime mortgage",20
"1324","DE",2009-10-01,8.8,"Delaware","Subprime mortgage",21
"1325","DE",2009-11-01,8.9,"Delaware","Subprime mortgage",22
"1326","DE",2009-12-01,9,"Delaware","Subprime mortgage",23
"1327","DE",2008-12-01,6.8,"Delaware","Subprime mortgage",11
"1328","DE",2009-01-01,7.2,"Delaware","Subprime mortgage",12
"1329","DE",2010-03-01,9,"Delaware","Subprime mortgage",26
"1330","DE",2010-04-01,8.8,"Delaware","Subprime mortgage",27
"1331","DE",2010-05-01,8.7,"Delaware","Subprime mortgage",28
"1332","DE",2010-06-01,8.6,"Delaware","Subprime mortgage",29
"1333","DE",2010-07-01,8.6,"Delaware","Subprime mortgage",30
"1334","DE",2010-08-01,8.5,"Delaware","Subprime mortgage",31
"1335","DE",2010-09-01,8.5,"Delaware","Subprime mortgage",32
"1336","DE",2010-10-01,8.5,"Delaware","Subprime mortgage",33
"1337","DE",2010-11-01,8.4,"Delaware","Subprime mortgage",34
"1338","DE",2010-12-01,8.2,"Delaware","Subprime mortgage",35
"1340","DE",2010-01-01,9.1,"Delaware","Subprime mortgage",24
"1341","DE",2010-02-01,9,"Delaware","Subprime mortgage",25
"1547","FL",2008-01-01,4.2,"Florida","Subprime mortgage",0
"1548","FL",2008-02-01,4.4,"Florida","Subprime mortgage",1
"1549","FL",2008-03-01,4.6,"Florida","Subprime mortgage",2
"1550","FL",2008-04-01,4.9,"Florida","Subprime mortgage",3
"1551","FL",2008-05-01,5.2,"Florida","Subprime mortgage",4
"1552","FL",2008-06-01,5.5,"Florida","Subprime mortgage",5
"1553","FL",2008-07-01,5.8,"Florida","Subprime mortgage",6
"1554","FL",2008-08-01,6.1,"Florida","Subprime mortgage",7
"1555","FL",2008-09-01,6.4,"Florida","Subprime mortgage",8
"1556","FL",2008-10-01,6.7,"Florida","Subprime mortgage",9
"1557","FL",2008-11-01,7.1,"Florida","Subprime mortgage",10
"1558","FL",2008-12-01,7.4,"Florida","Subprime mortgage",11
"1559","FL",2009-01-01,7.8,"Florida","Subprime mortgage",12
"1560","FL",2009-02-01,8.2,"Florida","Subprime mortgage",13
"1561","FL",2009-03-01,8.5,"Florida","Subprime mortgage",14
"1562","FL",2009-04-01,8.8,"Florida","Subprime mortgage",15
"1563","FL",2009-05-01,9.4,"Florida","Subprime mortgage",16
"1564","FL",2009-06-01,9.7,"Florida","Subprime mortgage",17
"1565","FL",2009-07-01,9.9,"Florida","Subprime mortgage",18
"1566","FL",2009-08-01,10.1,"Florida","Subprime mortgage",19
"1567","FL",2009-09-01,10.3,"Florida","Subprime mortgage",20
"1568","FL",2009-10-01,10.5,"Florida","Subprime mortgage",21
"1569","FL",2009-11-01,10.7,"Florida","Subprime mortgage",22
"1570","FL",2009-12-01,10.8,"Florida","Subprime mortgage",23
"1571","FL",2010-01-01,10.9,"Florida","Subprime mortgage",24
"1572","FL",2010-02-01,10.9,"Florida","Subprime mortgage",25
"1573","FL",2010-03-01,10.9,"Florida","Subprime mortgage",26
"1574","FL",2010-04-01,10.9,"Florida","Subprime mortgage",27
"1575","FL",2010-05-01,10.8,"Florida","Subprime mortgage",28
"1576","FL",2010-06-01,10.8,"Florida","Subprime mortgage",29
"1577","FL",2010-07-01,10.8,"Florida","Subprime mortgage",30
"1578","FL",2010-08-01,10.8,"Florida","Subprime mortgage",31
"1579","FL",2010-09-01,10.8,"Florida","Subprime mortgage",32
"1580","FL",2010-10-01,10.8,"Florida","Subprime mortgage",33
"1581","FL",2010-11-01,10.8,"Florida","Subprime mortgage",34
"1582","FL",2010-12-01,10.7,"Florida","Subprime mortgage",35
"1711","GA",2008-01-01,5.5,"Georgia","Subprime mortgage",0
"1712","GA",2008-02-01,5.6,"Georgia","Subprime mortgage",1
"1713","GA",2008-03-01,5.8,"Georgia","Subprime mortgage",2
"1714","GA",2008-04-01,6,"Georgia","Subprime mortgage",3
"1715","GA",2008-05-01,6.2,"Georgia","Subprime mortgage",4
"1716","GA",2008-06-01,6.4,"Georgia","Subprime mortgage",5
"1717","GA",2008-07-01,6.6,"Georgia","Subprime mortgage",6
"1718","GA",2008-08-01,6.9,"Georgia","Subprime mortgage",7
"1719","GA",2008-09-01,7.4,"Georgia","Subprime mortgage",8
"1720","GA",2008-10-01,7.9,"Georgia","Subprime mortgage",9
"1721","GA",2008-11-01,8.3,"Georgia","Subprime mortgage",10
"1722","GA",2008-12-01,8.8,"Georgia","Subprime mortgage",11
"1723","GA",2009-01-01,9.2,"Georgia","Subprime mortgage",12
"1724","GA",2009-02-01,9.6,"Georgia","Subprime mortgage",13
"1725","GA",2009-03-01,10,"Georgia","Subprime mortgage",14
"1726","GA",2009-04-01,10.2,"Georgia","Subprime mortgage",15
"1727","GA",2009-05-01,10.4,"Georgia","Subprime mortgage",16
"1728","GA",2009-06-01,10.6,"Georgia","Subprime mortgage",17
"1729","GA",2009-07-01,10.7,"Georgia","Subprime mortgage",18
"1730","GA",2009-08-01,10.8,"Georgia","Subprime mortgage",19
"1731","GA",2009-09-01,10.8,"Georgia","Subprime mortgage",20
"1732","GA",2009-10-01,10.9,"Georgia","Subprime mortgage",21
"1733","GA",2009-11-01,10.9,"Georgia","Subprime mortgage",22
"1734","GA",2009-12-01,10.8,"Georgia","Subprime mortgage",23
"1735","GA",2010-01-01,10.8,"Georgia","Subprime mortgage",24
"1736","GA",2010-02-01,10.8,"Georgia","Subprime mortgage",25
"1737","GA",2010-03-01,10.8,"Georgia","Subprime mortgage",26
"1738","GA",2010-04-01,10.7,"Georgia","Subprime mortgage",27
"1739","GA",2010-05-01,10.6,"Georgia","Subprime mortgage",28
"1740","GA",2010-06-01,10.5,"Georgia","Subprime mortgage",29
"1741","GA",2010-07-01,10.5,"Georgia","Subprime mortgage",30
"1742","GA",2010-08-01,10.6,"Georgia","Subprime mortgage",31
"1743","GA",2010-09-01,10.6,"Georgia","Subprime mortgage",32
"1744","GA",2010-10-01,10.7,"Georgia","Subprime mortgage",33
"1745","GA",2010-11-01,10.7,"Georgia","Subprime mortgage",34
"1746","GA",2010-12-01,10.6,"Georgia","Subprime mortgage",35
"1794","HI",2008-02-01,3.1,"Hawaii","Subprime mortgage",1
"1795","HI",2008-03-01,3.2,"Hawaii","Subprime mortgage",2
"1796","HI",2008-04-01,3.4,"Hawaii","Subprime mortgage",3
"1797","HI",2008-06-01,3.8,"Hawaii","Subprime mortgage",5
"1798","HI",2008-07-01,4,"Hawaii","Subprime mortgage",6
"1799","HI",2008-08-01,4.3,"Hawaii","Subprime mortgage",7
"1800","HI",2008-05-01,3.6,"Hawaii","Subprime mortgage",4
"1801","HI",2008-10-01,4.8,"Hawaii","Subprime mortgage",9
"1802","HI",2008-11-01,5.1,"Hawaii","Subprime mortgage",10
"1803","HI",2008-12-01,5.5,"Hawaii","Subprime mortgage",11
